,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,code,forename,surname,position_change
26644,26650,1139,847,131,63,20,6,6,6,8.0,56,+56.295,5765934,42,3,1:37.656,203.231,1,RUS,George,Russell,-14
26645,26651,1139,815,9,11,9,7,7,7,6.0,56,+59.072,5768711,45,13,1:38.514,201.461,1,PER,Sergio,Pérez,-2
26646,26652,1139,807,210,27,11,8,8,8,4.0,56,+1:02.957,5772596,51,12,1:38.404,201.686,1,HUL,Nico,Hülkenberg,-3
26647,26653,1139,859,215,30,19,9,9,9,2.0,56,+1:10.563,5780202,54,8,1:38.091,202.330,1,LAW,Liam,Lawson,-10
26648,26654,1139,861,3,43,15,10,10,10,1.0,56,+1:11.979,5781618,46,2,1:37.611,203.325,1,COL,Franco,Colapinto,-5
26649,26655,1139,825,210,20,8,11,11,11,0.0,56,+1:19.782,5789421,56,10,1:38.210,202.085,1,MAG,Kevin,Magnussen,3
26650,26656,1139,842,214,10,6,12,12,12,0.0,56,+1:30.558,5800197,55,11,1:38.311,201.877,1,GAS,Pierre,Gasly,6
26651,26657,1139,4,117,14,7,13,13,13,0.0,55,\N,\N,52,17,1:39.261,199.945,11,ALO,Fernando,Alonso,6
26652,26658,1139,852,215,22,10,14,14,14,0.0,55,\N,\N,54,15,1:39.193,200.082,11,TSU,Yuki,Tsunoda,4
26653,26659,1139,840,117,18,13,15,15,15,0.0,55,\N,\N,54,16,1:39.214,200.040,11,STR,Lance,Stroll,2
26654,26660,1139,848,3,23,14,16,16,16,0.0,55,\N,\N,54,14,1:39.084,200.302,11,ALB,Alexander,Albon,2
26655,26661,1139,822,15,77,16,17,17,17,0.0,55,\N,\N,53,19,1:40.575,197.333,11,BOT,Valtteri,Bottas,1
26656,26662,1139,839,214,31,12,18,18,18,0.0,55,\N,\N,53,1,1:37.330,203.912,11,OCO,Esteban,Ocon,6
26657,26663,1139,855,15,24,18,19,19,19,0.0,55,\N,\N,53,18,1:39.272,199.923,11,ZHO,Guanyu,Zhou,1
26658,26664,1139,1,131,44,17,\N,R,20,0.0,1,\N,\N,\N,0,\N,\N,20,HAM,Lewis,Hamilton,3
26679,26685,1141,830,9,1,17,1,1,1,26.0,69,2:06:54.430,7614430,67,1,1:20.472,192.767,1,VER,Max,Verstappen,-16
26680,26686,1141,839,214,31,4,2,2,2,18.0,69,+19.477,7633907,64,7,1:21.771,189.705,1,OCO,Esteban,Ocon,-2
26681,26687,1141,842,214,10,13,3,3,3,15.0,69,+22.532,7636962,66,5,1:21.645,189.998,1,GAS,Pierre,Gasly,-10
26682,26688,1141,847,131,63,2,4,4,4,12.0,69,+23.265,7637695,66,6,1:21.645,189.998,1,RUS,George,Russell,2
26683,26689,1141,844,6,16,6,5,5,5,10.0,69,+30.177,7644607,60,4,1:21.631,190.030,1,LEC,Charles,Leclerc,-1
26684,26690,1141,846,1,4,1,6,6,6,8.0,69,+31.372,7645802,67,2,1:21.517,190.296,1,NOR,Lando,Norris,5
26685,26691,1141,852,215,22,3,7,7,7,6.0,69,+42.056,7656486,69,8,1:21.828,189.573,1,TSU,Yuki,Tsunoda,4
26686,26692,1141,857,1,81,8,8,8,8,4.0,69,+44.943,7659373,69,3,1:21.532,190.261,1,PIA,Oscar,Piastri,0
26687,26693,1141,859,215,30,5,9,9,9,2.0,69,+50.452,7664882,67,10,1:22.123,188.892,1,LAW,Liam,Lawson,4
26688,26694,1141,1,131,44,14,10,10,10,1.0,69,+50.753,7665183,69,9,1:22.041,189.081,1,HAM,Lewis,Hamilton,-4
26689,26695,1141,815,9,11,12,11,11,11,0.0,69,+51.531,7665961,67,11,1:22.143,188.846,1,PER,Sergio,Pérez,-1
26690,26696,1141,860,210,50,15,12,12,12,0.0,69,+57.085,7671515,64,13,1:22.494,188.042,1,BEA,Oliver,Bearman,-3
26691,26697,1141,822,15,77,11,13,13,13,0.0,69,+1:03.588,7678018,67,14,1:22.877,187.173,1,BOT,Valtteri,Bottas,2
26692,26698,1141,4,117,14,9,14,14,14,0.0,69,+1:18.049,7692479,59,12,1:22.293,188.502,1,ALO,Fernando,Alonso,5
26693,26699,1141,855,15,24,19,15,15,15,0.0,69,+1:19.649,7694079,65,15,1:23.058,186.765,1,ZHO,Guanyu,Zhou,-4
26694,26700,1141,832,6,55,0,\N,R,16,0.0,38,\N,\N,19,17,1:24.201,184.230,3,SAI,Carlos,Sainz,16
26695,26701,1141,861,3,43,16,\N,R,17,0.0,30,\N,\N,21,18,1:24.296,184.022,3,COL,Franco,Colapinto,1
26696,26702,1141,848,3,23,7,\N,W,18,0.0,0,\N,\N,\N,0,\N,\N,54,ALB,Alexander,Albon,11
26697,26703,1141,840,117,18,10,\N,W,19,0.0,0,\N,\N,\N,0,\N,\N,54,STR,Lance,Stroll,9
